"","protein_id","gene_id","symbol","r.mRNA_Age.Sex","r.Prot_Age.Sex","p.mRNA_Age.Sex","p.Prot_Age.Sex","sig"
"20","ENSMUSP00000079306","ENSMUSG00000059970","Hspa2",0.347275209647496,-0.177844659368184,5.46500107642399e-06,0.017437853178985,TRUE
"21","ENSMUSP00000038781","ENSMUSG00000042043","Tbca",0.159734581846936,-0.153459118544653,0.0324806448056087,0.0398383255975254,TRUE
"22","ENSMUSP00000133099","ENSMUSG00000054428","Atpif1",0.174638701117777,-0.463428334464134,0.0195366193907766,2.80784269051131e-09,TRUE
"23","ENSMUSP00000002091","ENSMUSG00000002015","Bcap31",0.156904428622594,-0.264361090346084,0.0356394598358567,0.000462504673993613,TRUE
"24","ENSMUSP00000128803","ENSMUSG00000090841","Myl6",0.229102374666571,-0.381399558957635,0.00231025141078978,6.87234623356617e-07,TRUE
"25","ENSMUSP00000107760","ENSMUSG00000030359","Pzp",0.195205984772468,-0.257294923371241,0.00917884177187033,0.000647345690109028,TRUE
"26","ENSMUSP00000032203","ENSMUSG00000030111","A2m",0.189682905774777,-0.215563956421993,0.0113119559808204,0.00408882776366406,TRUE
"27","ENSMUSP00000129465","ENSMUSG00000001120","Pcbp3",0.235883675918493,-0.322355928268295,0.00171868581944488,2.27520890345863e-05,TRUE
"28","ENSMUSP00000025679","ENSMUSG00000024767","Otub1",0.28181284621014,-0.153167965335319,0.000195799505174615,0.0402118060780762,TRUE
"29","ENSMUSP00000105438","ENSMUSG00000057897","Camk2b",0.378776096017856,-0.630931837173012,8.09839570397814e-07,6.23845119754177e-15,TRUE
"30","ENSMUSP00000034453","ENSMUSG00000031972","Acta1",0.163715001004453,-0.242881232269158,0.0284486949115065,0.00125798238908043,TRUE
"31","ENSMUSP00000026704","ENSMUSG00000025613","Cct8",0.151900598788292,-0.639674799365116,0.041872611899776,3.00735901784142e-15,TRUE
"32","ENSMUSP00000088057","ENSMUSG00000068749","Psma5",0.158910037376853,-0.20848046456465,0.0333749765013704,0.00545455152328542,TRUE
"33","ENSMUSP00000127034","ENSMUSG00000059796","Eif4a1",0.168577598933974,-0.359549334906898,0.0241188976345637,2.63320804764764e-06,TRUE
"34","ENSMUSP00000104067","ENSMUSG00000040952","Rps19",0.147888272700757,-0.187054338400591,0.0475216186809433,0.0124751289136614,TRUE
"35","ENSMUSP00000078630","ENSMUSG00000027610","Gss",0.183141185755647,-0.38182162622176,0.0144048377681817,6.69273715099224e-07,TRUE
"36","ENSMUSP00000028938","ENSMUSG00000027447","Cst3",0.201426057199535,-0.19230197465883,0.00721547770085362,0.0102505183005926,TRUE
"37","ENSMUSP00000051619","ENSMUSG00000063065","Mapk3",0.149223514320195,-0.26737943862514,0.0455739176903262,0.000399793766342389,TRUE
"38","ENSMUSP00000133061","ENSMUSG00000038650","Rnh1",0.209736936166775,-0.431822977652305,0.00518547013542663,2.53439757864367e-08,TRUE
"39","ENSMUSP00000101862","ENSMUSG00000028656","Cap1",0.169162454396384,-0.219367583151581,0.0236390768325619,0.00349215636186147,TRUE
"40","ENSMUSP00000113051","ENSMUSG00000024158","Hagh",0.159853354206596,-0.184630561038903,0.0323535406914541,0.0136411105990865,TRUE
"41","ENSMUSP00000036604","ENSMUSG00000035232","Pdk3",0.146325032709993,-0.493648525542252,0.049891119701388,3.14249364853053e-10,TRUE
"42","ENSMUSP00000103940","ENSMUSG00000037563","Rps16",0.149375919330994,-0.494509187701816,0.045355980366019,2.94903954131434e-10,TRUE
"43","ENSMUSP00000032376","ENSMUSG00000057604","Lmcd1",0.216814134188717,-0.174916976488974,0.00388313359547366,0.019346011979688,TRUE
"44","ENSMUSP00000066035","ENSMUSG00000021814","Anxa7",0.177668776349152,-0.208730962594545,0.0175476057650805,0.00539991249363603,TRUE
"45","ENSMUSP00000022682","ENSMUSG00000022091","Sorbs3",0.239150152275534,-0.27422226739272,0.00148698883111641,0.000286008615840893,TRUE
"46","ENSMUSP00000023583","ENSMUSG00000022868","Ahsg",0.316983555378202,-0.231126811847516,3.06320383380562e-05,0.00211644032417016,TRUE
"47","ENSMUSP00000018186","ENSMUSG00000018042","Cyb5r3",0.254294433875749,-0.314601606338467,0.000745136188212169,3.49085321129749e-05,TRUE
"48","ENSMUSP00000079380","ENSMUSG00000001847","Rac1",0.195252377665755,-0.447531083244445,0.00916257159680898,8.59400767266339e-09,TRUE
"49","ENSMUSP00000045048","ENSMUSG00000042079","Hnrnpf",0.155355496089033,-0.156677949886592,0.0374776123165273,0.0359032902545243,TRUE
