"","protein_id","gene_id","symbol","r.mRNA_Age.Sex","r.Prot_Age.Sex","p.mRNA_Age.Sex","p.Prot_Age.Sex","sig"
"33","ENSMUSP00000124149","ENSMUSG00000033400","Agl",-0.216962977716945,-0.252788176561822,0.00385928594192984,0.000799288376939167,TRUE
"34","ENSMUSP00000021370","ENSMUSG00000020988","L2hgdh",-0.195347648670178,-0.201620281669597,0.009129241023548,0.0071608048511077,TRUE
"35","ENSMUSP00000117805","ENSMUSG00000053702","Nebl",-0.178872870907935,-0.795669513016665,0.0168083022264391,3.88604286880663e-21,TRUE
"36","ENSMUSP00000028080","ENSMUSG00000053702","Nebl",-0.178872870907935,-0.467223399444878,0.0168083022264391,2.14230748771804e-09,TRUE
"37","ENSMUSP00000138753","ENSMUSG00000032826","Ank2",-0.148117551947773,-0.373275591180305,0.0471822381985943,1.1396752191861e-06,TRUE
"38","ENSMUSP00000120976","ENSMUSG00000025745","Hadha",-0.177936998177312,-0.358732012682438,0.0173804762194122,2.76593190799591e-06,TRUE
"39","ENSMUSP00000005532","ENSMUSG00000005397","Nid1",-0.193009325201278,-0.47707563140285,0.00997961510015033,1.05491141977262e-09,TRUE
"40","ENSMUSP00000020497","ENSMUSG00000020256","Aldh1l2",-0.323516625214852,-0.281161235207164,2.13260379006092e-05,0.000202334868697962,TRUE
"41","ENSMUSP00000054556","ENSMUSG00000016349","Eef1a2",-0.152767865673068,-0.424265513394617,0.0407299203059239,4.22720628828224e-08,TRUE
"42","ENSMUSP00000009003","ENSMUSG00000008859","Rala",-0.198634962610959,-0.194270763832682,0.0080439702159552,0.00951242041979378,TRUE
"43","ENSMUSP00000124300","ENSMUSG00000033060","Lmo7",-0.158825541377424,-0.158838265294786,0.0334678128580876,0.0334538187700366,TRUE
"44","ENSMUSP00000028222","ENSMUSG00000026864","Hspa5",-0.150382095201742,-0.262775777063615,0.0439392741903136,0.000499040167356435,TRUE
"45","ENSMUSP00000101453","ENSMUSG00000028759","Hp1bp3",-0.221695908164517,-0.277942650689764,0.00316747824657739,0.000237760650885798,TRUE
"46","ENSMUSP00000108300","ENSMUSG00000024044","Epb4.1l3",-0.171978334016031,-0.234179361776564,0.021443976013396,0.00185246115108683,TRUE
"47","ENSMUSP00000101197","ENSMUSG00000078486","2310042D19Rik",-0.164728988625727,-0.414522569857649,0.027493847792221,8.10490141659516e-08,TRUE
"48","ENSMUSP00000009256","ENSMUSG00000009112","Bcl2l13",-0.205440788315636,-0.258924940693707,0.00615885596995562,0.000599400903725428,TRUE
"49","ENSMUSP00000121358","ENSMUSG00000056999","Ide",-0.251636834425847,-0.312287194091539,0.000843140594327853,3.96075218914639e-05,TRUE
"50","ENSMUSP00000034046","ENSMUSG00000018796","Acsl1",-0.205075776214736,-0.374802409602852,0.00624876407026229,1.03691494545129e-06,TRUE
"51","ENSMUSP00000003461","ENSMUSG00000020456","Ogdh",-0.236790413259824,-0.290649944723216,0.0016512199405026,0.000124739211557575,TRUE
"52","ENSMUSP00000027752","ENSMUSG00000026478","Lamc1",-0.221602676713393,-0.358604882523308,0.0031799268500096,2.78714962214523e-06,TRUE
"53","ENSMUSP00000039134","ENSMUSG00000036270","Edc4",-0.186026231556174,-0.261861318298315,0.0129583848624649,0.000521331556168522,TRUE
